,strain,barcode,batch,sequencing_summary,cross,cross_color,timepoint_filter,diploid_filter,identity_filter,path,ref_name,ref,ref_mt,subg_idx,subg,s_subg,quick_map,ref_chroder
L19.LL2011_001,L19,BC22,batch7,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch7/20191023_2108_MN28889_FAL15375_f9afbd6e/sequencing_summary/MT-110688_20191023_170901_FAL15375_minion_sequencing_run_batch7_sequencing_summary.txt,CC3,deeppink,True,True,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch7/2019*/barcoder/barcode22/*.fastq.gz,C,/mnt/HDD3/mito_nanopore/ref/ref_genome_C.mt.fasta,,s2,LL2011_001,L19.LL2011_001,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_001.chromosomes.fasta
L48.LL2011_001,L48,BC07,batch7,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch7/20191023_2108_MN28889_FAL15375_f9afbd6e/sequencing_summary/MT-110688_20191023_170901_FAL15375_minion_sequencing_run_batch7_sequencing_summary.txt,CC3,deeppink,True,True,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch7/2019*/barcoder/barcode07/*.fastq.gz,C,/mnt/HDD3/mito_nanopore/ref/ref_genome_C.mt.fasta,,s2,LL2011_001,L48.LL2011_001,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_001.chromosomes.fasta
A34.LL2011_004,A34,BC13,batch1,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch1/20190814_1952_MN28889_FAK65623_343b0508/sequencing_summary/MT-110688_20190814_155259_FAK65623_minion_sequencing_run_batch1_sequencing_summary.txt,BC1,dodgerblue,True,True,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch1/2019*/barcoder/barcode13/*.fastq.gz,BC,/mnt/HDD3/mito_nanopore/ref/ref_genome_BC.mt.fasta,,s2,LL2011_004,A34.LL2011_004,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_004.chromosomes.fasta
A51.LL2011_004,A51,BC21,batch1,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch1/20190814_1952_MN28889_FAK65623_343b0508/sequencing_summary/MT-110688_20190814_155259_FAK65623_minion_sequencing_run_batch1_sequencing_summary.txt,BC1,dodgerblue,True,False,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch1/2019*/barcoder/barcode21/*.fastq.gz,BC,/mnt/HDD3/mito_nanopore/ref/ref_genome_BC.mt.fasta,,s2,LL2011_004,A51.LL2011_004,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_004.chromosomes.fasta
A67.LL2011_004,A67,BC16,batch1,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch1/20190814_1952_MN28889_FAK65623_343b0508/sequencing_summary/MT-110688_20190814_155259_FAK65623_minion_sequencing_run_batch1_sequencing_summary.txt,BC1,dodgerblue,True,True,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch1/2019*/barcoder/barcode16/*.fastq.gz,BC,/mnt/HDD3/mito_nanopore/ref/ref_genome_BC.mt.fasta,,s2,LL2011_004,A67.LL2011_004,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_004.chromosomes.fasta
A76.LL2011_004,A76,BC15,batch1,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch1/20190814_1952_MN28889_FAK65623_343b0508/sequencing_summary/MT-110688_20190814_155259_FAK65623_minion_sequencing_run_batch1_sequencing_summary.txt,BC1,dodgerblue,True,False,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch1/2019*/barcoder/barcode15/*.fastq.gz,BC,/mnt/HDD3/mito_nanopore/ref/ref_genome_BC.mt.fasta,,s2,LL2011_004,A76.LL2011_004,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_004.chromosomes.fasta
J23.LL2011_004,J23,BC07,batch1,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch1/20190814_1952_MN28889_FAK65623_343b0508/sequencing_summary/MT-110688_20190814_155259_FAK65623_minion_sequencing_run_batch1_sequencing_summary.txt,CC1,blueviolet,True,True,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch1/2019*/barcoder/barcode07/*.fastq.gz,C,/mnt/HDD3/mito_nanopore/ref/ref_genome_C.mt.fasta,,s1,LL2011_004,J23.LL2011_004,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_004.chromosomes.fasta
A41.LL2011_004,A41,BC02,batch2,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch2/20190821_2002_MN28889_FAK78078_46d9ab5e/sequencing_summary/MT-110688_20190821_160240_FAK78078_minion_sequencing_run_batch2_sequencing_summary.txt,BC1,dodgerblue,True,True,False,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch2/2019*/barcoder/barcode02/*.fastq.gz,BC,/mnt/HDD3/mito_nanopore/ref/ref_genome_BC.mt.fasta,,s2,LL2011_004,A41.LL2011_004,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_004.chromosomes.fasta
A8.LL2011_004,A8,BC16,batch2,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch2/20190821_2002_MN28889_FAK78078_46d9ab5e/sequencing_summary/MT-110688_20190821_160240_FAK78078_minion_sequencing_run_batch2_sequencing_summary.txt,BC1,dodgerblue,True,False,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch2/2019*/barcoder/barcode16/*.fastq.gz,BC,/mnt/HDD3/mito_nanopore/ref/ref_genome_BC.mt.fasta,,s2,LL2011_004,A8.LL2011_004,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_004.chromosomes.fasta
A6.LL2011_004,A6,BC04,batch3,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch3/20190827_1901_MN28889_FAK76872_41765205/sequencing_summary/MT-110688_20190827_150145_FAK76872_minion_sequencing_run_batch3_sequencing_summary.txt,BC1,dodgerblue,True,True,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch3/2019*/barcoder/barcode04/*.fastq.gz,BC,/mnt/HDD3/mito_nanopore/ref/ref_genome_BC.mt.fasta,,s2,LL2011_004,A6.LL2011_004,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_004.chromosomes.fasta
A68.LL2011_004,A68,BC12,batch3,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch3/20190827_1901_MN28889_FAK76872_41765205/sequencing_summary/MT-110688_20190827_150145_FAK76872_minion_sequencing_run_batch3_sequencing_summary.txt,BC1,dodgerblue,True,True,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch3/2019*/barcoder/barcode12/*.fastq.gz,BC,/mnt/HDD3/mito_nanopore/ref/ref_genome_BC.mt.fasta,,s2,LL2011_004,A68.LL2011_004,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_004.chromosomes.fasta
A17.LL2011_004,A17,BC09,batch4,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch4/20190918_2010_MN28889_FAK98912_a3797231/sequencing_summary/MT-110688_20190918_161100_FAK98912_minion_sequencing_run_batch4_sequencing_summary.txt,BC1,dodgerblue,True,True,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch4/2019*/barcoder/barcode09/*.fastq.gz,BC,/mnt/HDD3/mito_nanopore/ref/ref_genome_BC.mt.fasta,,s2,LL2011_004,A17.LL2011_004,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_004.chromosomes.fasta
A50.LL2011_004,A50,BC15,batch4,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch4/20190918_2010_MN28889_FAK98912_a3797231/sequencing_summary/MT-110688_20190918_161100_FAK98912_minion_sequencing_run_batch4_sequencing_summary.txt,BC1,dodgerblue,True,False,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch4/2019*/barcoder/barcode15/*.fastq.gz,BC,/mnt/HDD3/mito_nanopore/ref/ref_genome_BC.mt.fasta,,s2,LL2011_004,A50.LL2011_004,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_004.chromosomes.fasta
A88.LL2011_004,A88,BC05,batch4,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch4/20190918_2010_MN28889_FAK98912_a3797231/sequencing_summary/MT-110688_20190918_161100_FAK98912_minion_sequencing_run_batch4_sequencing_summary.txt,BC1,dodgerblue,True,True,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch4/2019*/barcoder/barcode05/*.fastq.gz,BC,/mnt/HDD3/mito_nanopore/ref/ref_genome_BC.mt.fasta,,s2,LL2011_004,A88.LL2011_004,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_004.chromosomes.fasta
J5.LL2011_004,J5,BC22,batch4,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch4/20190918_2010_MN28889_FAK98912_a3797231/sequencing_summary/MT-110688_20190918_161100_FAK98912_minion_sequencing_run_batch4_sequencing_summary.txt,CC1,blueviolet,True,True,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch4/2019*/barcoder/barcode22/*.fastq.gz,C,/mnt/HDD3/mito_nanopore/ref/ref_genome_C.mt.fasta,,s1,LL2011_004,J5.LL2011_004,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_004.chromosomes.fasta
J56.LL2011_004,J56,BC11,batch4,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch4/20190918_2010_MN28889_FAK98912_a3797231/sequencing_summary/MT-110688_20190918_161100_FAK98912_minion_sequencing_run_batch4_sequencing_summary.txt,CC1,blueviolet,True,True,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch4/2019*/barcoder/barcode11/*.fastq.gz,C,/mnt/HDD3/mito_nanopore/ref/ref_genome_C.mt.fasta,,s1,LL2011_004,J56.LL2011_004,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_004.chromosomes.fasta
J59.LL2011_004,J59,BC16,batch4,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch4/20190918_2010_MN28889_FAK98912_a3797231/sequencing_summary/MT-110688_20190918_161100_FAK98912_minion_sequencing_run_batch4_sequencing_summary.txt,CC1,blueviolet,True,True,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch4/2019*/barcoder/barcode16/*.fastq.gz,C,/mnt/HDD3/mito_nanopore/ref/ref_genome_C.mt.fasta,,s1,LL2011_004,J59.LL2011_004,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_004.chromosomes.fasta
J17.LL2011_004,J17,BC22,batch5,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch5/20190925_2037_MN28889_FAK89373_5a8db4a5/sequencing_summary/MT-110688_20190925_163805_FAK89373_minion_sequencing_run_batch5_sequencing_summary.txt,CC1,blueviolet,True,False,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch5/2019*/barcoder/barcode22/*.fastq.gz,C,/mnt/HDD3/mito_nanopore/ref/ref_genome_C.mt.fasta,,s1,LL2011_004,J17.LL2011_004,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_004.chromosomes.fasta
J44.LL2011_004,J44,BC07,batch5,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch5/20190925_2037_MN28889_FAK89373_5a8db4a5/sequencing_summary/MT-110688_20190925_163805_FAK89373_minion_sequencing_run_batch5_sequencing_summary.txt,CC1,blueviolet,True,True,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch5/2019*/barcoder/barcode07/*.fastq.gz,C,/mnt/HDD3/mito_nanopore/ref/ref_genome_C.mt.fasta,,s1,LL2011_004,J44.LL2011_004,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_004.chromosomes.fasta
J54.LL2011_004,J54,BC05,batch5,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch5/20190925_2037_MN28889_FAK89373_5a8db4a5/sequencing_summary/MT-110688_20190925_163805_FAK89373_minion_sequencing_run_batch5_sequencing_summary.txt,CC1,blueviolet,True,True,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch5/2019*/barcoder/barcode05/*.fastq.gz,C,/mnt/HDD3/mito_nanopore/ref/ref_genome_C.mt.fasta,,s1,LL2011_004,J54.LL2011_004,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_004.chromosomes.fasta
A30.LL2011_004,A30,BC21,batch6,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch6/20191016_2014_MN28889_FAL15409_fa8ba0ac/sequencing_summary/MT-110688_20191016_161453_FAL15409_minion_sequencing_run_batch6_sequencing_summary.txt,BC1,dodgerblue,True,True,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch6/2019*/barcoder/barcode21/*.fastq.gz,BC,/mnt/HDD3/mito_nanopore/ref/ref_genome_BC.mt.fasta,,s2,LL2011_004,A30.LL2011_004,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_004.chromosomes.fasta
J27.LL2011_004,J27,BC03,batch6,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch6/20191016_2014_MN28889_FAL15409_fa8ba0ac/sequencing_summary/MT-110688_20191016_161453_FAL15409_minion_sequencing_run_batch6_sequencing_summary.txt,CC1,blueviolet,True,False,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch6/2019*/barcoder/barcode03/*.fastq.gz,C,/mnt/HDD3/mito_nanopore/ref/ref_genome_C.mt.fasta,,s1,LL2011_004,J27.LL2011_004,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_004.chromosomes.fasta
J48.LL2011_004,J48,BC05,batch6,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch6/20191016_2014_MN28889_FAL15409_fa8ba0ac/sequencing_summary/MT-110688_20191016_161453_FAL15409_minion_sequencing_run_batch6_sequencing_summary.txt,CC1,blueviolet,True,False,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch6/2019*/barcoder/barcode05/*.fastq.gz,C,/mnt/HDD3/mito_nanopore/ref/ref_genome_C.mt.fasta,,s1,LL2011_004,J48.LL2011_004,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_004.chromosomes.fasta
J20.LL2011_004,J20,BC17,batch7,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch7/20191023_2108_MN28889_FAL15375_f9afbd6e/sequencing_summary/MT-110688_20191023_170901_FAL15375_minion_sequencing_run_batch7_sequencing_summary.txt,CC1,blueviolet,True,True,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch7/2019*/barcoder/barcode17/*.fastq.gz,C,/mnt/HDD3/mito_nanopore/ref/ref_genome_C.mt.fasta,,s1,LL2011_004,J20.LL2011_004,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_004.chromosomes.fasta
J38.LL2011_004,J38,BC14,batch7,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch7/20191023_2108_MN28889_FAL15375_f9afbd6e/sequencing_summary/MT-110688_20191023_170901_FAL15375_minion_sequencing_run_batch7_sequencing_summary.txt,CC1,blueviolet,True,True,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch7/2019*/barcoder/barcode14/*.fastq.gz,C,/mnt/HDD3/mito_nanopore/ref/ref_genome_C.mt.fasta,,s1,LL2011_004,J38.LL2011_004,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_004.chromosomes.fasta
J47.LL2011_004,J47,BC21,batch7,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch7/20191023_2108_MN28889_FAL15375_f9afbd6e/sequencing_summary/MT-110688_20191023_170901_FAL15375_minion_sequencing_run_batch7_sequencing_summary.txt,CC1,blueviolet,True,True,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch7/2019*/barcoder/barcode21/*.fastq.gz,C,/mnt/HDD3/mito_nanopore/ref/ref_genome_C.mt.fasta,,s1,LL2011_004,J47.LL2011_004,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_004.chromosomes.fasta
D17.LL2011_009,D17,BC22,batch1,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch1/20190814_1952_MN28889_FAK65623_343b0508/sequencing_summary/MT-110688_20190814_155259_FAK65623_minion_sequencing_run_batch1_sequencing_summary.txt,BC2,blue,True,False,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch1/2019*/barcoder/barcode22/*.fastq.gz,BC,/mnt/HDD3/mito_nanopore/ref/ref_genome_BC.mt.fasta,,s2,LL2011_009,D17.LL2011_009,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_009.chromosomes.fasta
D29.LL2011_009,D29,BC24,batch1,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch1/20190814_1952_MN28889_FAK65623_343b0508/sequencing_summary/MT-110688_20190814_155259_FAK65623_minion_sequencing_run_batch1_sequencing_summary.txt,BC2,blue,True,True,True,/mnt/HDD3/MinKNOW/results/ma_nanopore/batch1/2019*/barcoder/barcode24/*.fastq.gz,BC,/mnt/HDD3/mito_nanopore/ref/ref_genome_BC.mt.fasta,,s2,LL2011_009,D29.LL2011_009,/home/mathieu/mhenault_landrylab/Sequences/ref_genomes/CBS432_pacbio/CBS432.genome.fa,/home/mathieu/paradoxus_nanopore/MA_parents/assemblies/LL2011_009.chromosomes.fasta
